2016-12-01,0.0,0.0,,2 line,Sales,,
2016-11-01,700.0,0.0,,2 line,Sales,,
2016-10-01,600.0,0.0,,2 line,Sales,,
2016-09-01,500.0,0.0,,2 line,Sales,,
2016-08-01,400.0,0.0,,2 line,Sales,,
2016-07-01,0.0,0.0,,2 line,Sales,,
2016-06-01,0.0,0.0,,2 line,Sales,,
2016-05-01,0.0,0.0,,2 line,Sales,,
2016-04-01,0.0,0.0,,2 line,Sales,,
2016-03-01,0.0,0.0,,2 line,Sales,,
2016-02-01,0.0,0.0,,2 line,Sales,,
2016-01-01,0.0,0.0,,2 line,Sales,,
2016-12-01,0.0,0.0,,1 line,Sales,,
2016-11-01,0.0,0.0,,1 line,Sales,,
2016-10-01,0.0,0.0,,1 line,Sales,,
2016-09-01,0.0,0.0,,1 line,Sales,,
2016-08-01,0.0,0.0,,1 line,Sales,,
2016-07-01,0.0,0.0,,1 line,Sales,,
2016-06-01,0.0,0.0,,1 line,Sales,,
2016-05-01,0.0,0.0,,1 line,Sales,,
2016-04-01,0.0,0.0,,1 line,Sales,,
2016-03-01,300.0,0.0,,1 line,Sales,,
2016-02-01,300.0,0.0,,1 line,Sales,,
2016-01-01,100.0,0.0,,1 line,Sales,,
